Kunta,Area
Äänekoski,1138.38
Ähtäri,910.88
Akaa,314.38
Alajärvi,1056.75
Alavieska,253.02
Alavus,1151.46
Asikkala,755.55
Askola,218.03
Aura,95.58
Brändö,1643.21
Eckerö,752.67
Enonkoski,419.2
Enontekiö,8391.31
Espoo,528.03
Eura,630.2
Eurajoki,1504.96
Evijärvi,390.71
Finström,172.5
Föglö,1869.07
Forssa,253.38
Geta,605.65
Haapajärvi,789.12
Haapavesi,1086.15
Hailuoto,1082.7
Halsua,428.34
Hämeenkyrö,505.1
Hämeenlinna,2031.54
Hamina,1155.15
Hammarland,1224.17
Hankasalmi,687.75
Hanko,800.02
Harjavalta,127.74
Hartola,675.38
Hattula,427.39
Hausjärvi,398.77
Heinävesi,1319.58
Heinola,839.28
Helsinki,715.48
Hirvensalmi,746.59
Hollola,727.46
Honkajoki,333.13
Huittinen,539.59
Humppila,148.61
Hyrynsalmi,1521.37
Hyvinkää,336.77
Ii,2872.43
Iisalmi,872.2
Iitti,687.09
Ikaalinen,843.4
Ilmajoki,579.7
Ilomantsi,3172.68
Imatra,191.28
Inari,17333.62
Inkoo,954.02
Isojoki,647.43
Isokyrö,356.91
Jämijärvi,224.33
Jämsä,1823.91
Janakkala,586.07
Järvenpää,39.93
Joensuu,2750.96
Jokioinen,181.94
Jomala,687.01
Joroinen,711.76
Joutsa,1066.42
Juuka,1846.57
Juupajoki,274.95
Juva,1345.69
Jyväskylä,1466.35
Kaarina,179.58
Kaavi,789.6
Kajaani,2263.98
Kalajoki,2391.29
Kangasala,870.86
Kangasniemi,1326.75
Kankaanpää,704.74
Kannonkoski,549.88
Kannus,470.65
Karijoki,186.54
Karkkila,255.32
Kärkölä,259.31
Kärsämäki,700.93
Karstula,963.2
Karvia,519.9
Kaskinen,175.36
Kauhajoki,1315.55
Kauhava,1328.38
Kauniainen,6
Kaustinen,361.12
Keitele,578.3
Kemi,747.28
Kemijärvi,3930.91
Keminmaa,647.24
Kemiönsaari,2801.01
Kempele,110.34
Kerava,30.79
Keuruu,1430.57
Kihniö,390.5
Kinnula,495.73
Kirkkonummi,1017.01
Kitee,1724.38
Kittilä,8263
Kiuruvesi,1422.9
Kivijärvi,599.88
Kökar,2165.02
Kokemäki,531.26
Kokkola,2730.8
Kolari,2617.87
Konnevesi,680.85
Kontiolahti,1029.83
Korsnäs,1424.7
Koski Tl,192.41
Kotka,949.76
Kouvola,2883.29
Kristiinankaupunki,1678.98
Kruunupyy,752.65
Kuhmo,5456.84
Kuhmoinen,936.68
Kumlinge,865.88
Kuopio,4326.35
Kuortane,484.89
Kurikka,1743.95
Kustavi,770.15
Kuusamo,5808.96
Kyyjärvi,469.61
Lahti,517.64
Laihia,508.44
Laitila,545.32
Lapinjärvi,339.31
Lapinlahti,1245.16
Lappajärvi,523.73
Lappeenranta,1723.56
Lapua,750.78
Laukaa,825.59
Lemi,262.48
Lemland,965.3
Lempäälä,307.06
Leppävirta,1519.64
Lestijärvi,559.06
Lieksa,4067.71
Lieto,302.56
Liminka,651.71
Liperi,1161.23
Lohja,1109.73
Loimaa,851.93
Loppi,655.97
Loviisa,1751.52
Luhanka,313.25
Lumijoki,290.29
Lumparland,87.04
Luoto,853.28
Luumäki,859.84
Maalahti,1954.94
Maarianhamina,20.75
Mäntsälä,596.11
Mänttä-Vilppula,657.08
Mäntyharju,1210.98
Marttila,195.99
Masku,204.01
Merijärvi,231.63
Merikarvia,1246.24
Miehikkälä,440.37
Mikkeli,3229.57
Muhos,797.27
Multia,765.63
Muonio,2039.97
Mustasaari,3178.6
Muurame,194.05
Mynämäki,536.09
Myrskylä,206.35
Naantali,687.99
Nakkila,184.88
Närpiö,2334.14
Nivala,536.87
Nokia,347.83
Nousiainen,199.56
Nurmes,2692.86
Nurmijärvi,367.26
Orimattila,814.01
Oripää,117.72
Orivesi,960.08
Oulainen,597.54
Oulu,3817.54
Outokumpu,584.06
Padasjoki,729.85
Paimio,242.27
Pälkäne,738.14
Paltamo,1139.11
Parainen,5548.14
Parikkala,760.71
Parkano,909.67
Pedersören kunta,826.05
Pelkosenniemi,1881.54
Pello,1864.66
Perho,775.19
Pertunmaa,454.2
Petäjävesi,495.41
Pieksämäki,1836.23
Pielavesi,1406.51
Pietarsaari,396.35
Pihtipudas,1247.49
Pirkkala,103.97
Polvijärvi,958.32
Pomarkku,332.05
Pori,2062
Pornainen,150.09
Porvoo,2139.81
Posio,3544.9
Pöytyä,773.69
Pudasjärvi,5867.27
Pukkila,145.94
Punkalaidun,364.02
Puolanka,2598.69
Puumala,1237.75
Pyhäjärvi,1459.46
Pyhäjoki,1365.09
Pyhäntä,847.48
Pyhäranta,291.75
Pyhtää,780.96
Raahe,1888.97
Rääkkylä,699.68
Raasepori,2354.22
Raisio,50.06
Rantasalmi,925.19
Ranua,3694.79
Rauma,1110.13
Rautalampi,761.99
Rautavaara,1235.25
Rautjärvi,401.9
Reisjärvi,503.34
Riihimäki,125.55
Ristijärvi,897.94
Rovaniemi,8016.75
Ruokolahti,1219.85
Ruovesi,950.16
Rusko,127.9
Saarijärvi,1422.72
Säkylä,527.71
Salla,5872.68
Salo,2168.28
Saltvik,1166.87
Sastamala,1531.75
Sauvo,299.48
Savitaipale,690.56
Savonlinna,3597.69
Savukoski,6496.51
Seinäjoki,1469.21
Sievi,800.4
Siikainen,491.31
Siikajoki,1653.89
Siikalatva,2229.18
Siilinjärvi,507.81
Simo,2086.28
Sipoo,698.6
Siuntio,266.12
Sodankylä,12415.41
Soini,574.22
Somero,697.68
Sonkajärvi,1576.79
Sotkamo,2951.86
Sottunga,342.44
Sulkava,769.2
Sund,184.32
Suomussalmi,5857.59
Suonenjoki,862.34
Sysmä,936.18
Taipalsaari,761.95
Taivalkoski,2650.61
Taivassalo,217.68
Tammela,715.15
Tampere,689.59
Tervo,494.3
Tervola,1592.02
Teuva,555.95
Tohmajärvi,895.36
Toholampi,616.89
Toivakka,413.94
Tornio,1348.83
Turku,306.35
Tuusniemi,699.42
Tuusula,225.46
Tyrnävä,494.86
Ulvila,422.51
Urjala,505.38
Utajärvi,1736.72
Utsjoki,5372
Uurainen,372.26
Uusikaarlepyy,1675.15
Uusikaupunki,1932.43
Vaala,1764.03
Vaasa,575.13
Valkeakoski,372.03
Vantaa,240.35
Vårdö,572.56
Varkaus,524.47
Vehmaa,202.08
Vesanto,569.8
Vesilahti,353.94
Veteli,520.91
Vieremä,973.35
Vihti,567.06
Viitasaari,1589.12
Vimpeli,328.79
Virolahti,558.98
Virrat,1299.08
Vöyri,1499.98
Ylitornio,2212.47
Ylivieska,573.42
Ylöjärvi,1324.14
Ypäjä,183.25
Koko Maa,390908.62
Ahvenanmaa,13324.46
Etelä-Karjala,6872.13
Etelä-Pohjanmaa,13998.92
Etelä-Savo,19130.38
Kainuu,22687.38
Kanta-Häme,5707.62
Keski-Pohjanmaa,6462.96
Keski-Suomi,19948.67
Kymenlaakso,7455.60
Lappi,100370.04
Pirkanmaa,14613.11
Pohjanmaa,18190.66
Pohjois-Karjala,21583.64
Pohjois-Pohjanmaa,45852.51
Pohjois-Savo,20366.18
Päijät-Häme,6254.66
Satakunta,11492.68
Uusimaa,16059.33
Varsinais-Suomi,20537.69
